City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,armacao de buzios,-22.7469,-41.8817,21.45,86,0,1.38,BR,1683176880
1,yellowknife,62.456,-114.3525,13.09,50,27,2.68,CA,1683176983
2,waitangi,-43.9535,-176.5597,16.01,87,35,4.47,NZ,1683176983
3,nemuro,43.3236,145.575,12.04,74,82,5.22,JP,1683176983
4,grytviken,-54.2811,-36.5092,3.25,98,100,4.95,GS,1683176918
5,bilibino,68.0546,166.4372,-5.77,73,100,2.03,RU,1683176918
6,port-aux-francais,-49.35,70.2167,7.05,95,86,10.77,TF,1683176919
7,ghanzi,-21.5667,21.7833,18.92,43,28,2.93,BW,1683176983
8,laguna,38.421,-121.4238,14.43,64,100,2.06,US,1683176984
9,edinburgh of the seven seas,-37.0676,-12.3116,17.79,81,80,9.16,SH,1683176919
10,utrik,11.2278,169.8474,26.99,79,94,6.86,MH,1683176984
11,tiksi,71.6872,128.8694,-0.56,89,68,9.49,RU,1683176984
12,jamestown,42.097,-79.2353,7.77,89,100,5.66,US,1683176777
13,vilhena,-12.7406,-60.1458,19.88,97,30,0.87,BR,1683176984
14,jorpeland,59.0225,6.0408,5.61,83,100,1.14,NO,1683176985
15,invercargill,-46.4,168.35,14.57,88,64,2.4,NZ,1683176728
16,blackmans bay,-43.0167,147.3167,14.29,62,50,1.92,AU,1683176985
17,fortaleza,-3.7227,-38.5247,27.9,83,20,2.06,BR,1683176714
18,tralee,52.2704,-9.7026,10.25,87,92,4.69,IE,1683176918
19,alstonville,-28.8333,153.4333,22.86,51,0,4.62,AU,1683176985
20,bethel,41.3712,-73.414,9.2,83,100,0.0,US,1683176986
21,iqaluit,63.7506,-68.5145,-4.15,79,75,3.6,CA,1683176744
22,hilo,19.7297,-155.09,22.93,91,100,6.17,US,1683176986
23,ribeira grande,38.5167,-28.7,17.1,94,81,7.15,PT,1683176986
24,magistral'nyy,56.1725,107.4458,8.65,54,27,0.89,RU,1683176986
25,new norfolk,-42.7826,147.0587,14.95,69,44,0.9,AU,1683176987
26,meung-sur-loire,47.8312,1.6958,10.62,88,0,2.57,FR,1683176987
27,capinzal,-27.3436,-51.6119,19.06,99,92,0.82,BR,1683176987
28,catabola,-12.15,17.2833,12.54,72,36,1.26,AO,1683176987
